"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 01, 2018","9,738.60","9,795.30","9,808.90","9,715.20","161.71M","-1.03%"
"Feb 28, 2018","9,840.30","9,869.80","9,887.20","9,830.20","203.42M","-0.61%"
"Feb 27, 2018","9,900.20","9,930.30","9,937.20","9,863.40","153.54M","-0.02%"
"Feb 26, 2018","9,902.40","9,888.40","9,915.10","9,841.70","156.60M","0.81%"
"Feb 23, 2018","9,822.40","9,882.90","9,891.10","9,764.90","181.44M","-0.55%"
"Feb 22, 2018","9,876.50","9,767.60","9,903.10","9,744.90","175.18M","0.54%"
"Feb 21, 2018","9,823.30","9,874.50","9,876.10","9,777.50","155.38M","-0.73%"
"Feb 20, 2018","9,895.30","9,806.90","9,901.10","9,806.90","153.24M","0.91%"
"Feb 19, 2018","9,806.20","9,865.10","9,905.40","9,797.20","122.82M","-0.26%"
"Feb 16, 2018","9,832.10","9,785.20","9,839.70","9,768.70","188.85M","1.21%"
"Feb 15, 2018","9,714.90","9,770.70","9,832.10","9,674.90","165.51M","0.30%"
"Feb 14, 2018","9,686.20","9,715.70","9,743.90","9,595.90","178.71M","0.37%"
"Feb 13, 2018","9,650.70","9,788.50","9,797.40","9,650.70","164.80M","-1.23%"
"Feb 12, 2018","9,771.10","9,760.10","9,815.20","9,731.00","170.17M","1.36%"
"Feb 09, 2018","9,639.60","9,710.90","9,752.20","9,581.10","255.50M","-1.20%"
"Feb 08, 2018","9,756.30","9,928.50","9,959.80","9,726.50","228.48M","-2.21%"
"Feb 07, 2018","9,976.90","9,950.80","9,988.50","9,811.70","234.40M","1.70%"
"Feb 06, 2018","9,810.00","9,794.90","9,967.30","9,721.50","313.30M","-2.53%"
"Feb 05, 2018","10,064.50","10,138.40","10,173.80","10,058.50","195.01M","-1.44%"
"Feb 02, 2018","10,211.20","10,359.30","10,369.20","10,205.30","203.69M","-1.81%"
"Feb 01, 2018","10,399.00","10,518.30","10,543.70","10,359.40","197.54M","-0.50%"
